,customer_id,recency,frequency,monetary,r_score,f_score,m_score,rfm_class,Segment,top_1000
0,1,7,11,3018.09,4,4,3,443,Best Customers,Yes
1,25,5,12,5333.66,4,4,4,444,Best Customers,Yes
2,37,7,9,6338.489999999999,4,4,4,444,Best Customers,Yes
3,76,1,8,2868.16,4,4,3,443,Best Customers,Yes
4,87,18,9,3740.7599999999998,4,4,3,443,Best Customers,Yes
5,89,4,9,5779.65,4,4,4,444,Best Customers,Yes
6,91,9,8,5242.410000000001,4,4,4,444,Best Customers,Yes
7,99,2,9,4557.65,4,4,4,444,Best Customers,Yes
8,115,14,8,3135.87,4,4,3,443,Best Customers,Yes
9,117,5,10,6917.34,4,4,4,444,Best Customers,Yes
10,142,4,11,3917.34,4,4,3,443,Best Customers,Yes
11,165,8,8,6107.04,4,4,4,444,Best Customers,Yes
12,167,14,9,5993.34,4,4,4,444,Best Customers,Yes
13,171,18,8,4833.139999999999,4,4,4,444,Best Customers,Yes
14,173,15,9,6549.509999999998,4,4,4,444,Best Customers,Yes
15,174,11,10,7628.240000000001,4,4,4,444,Best Customers,Yes
16,200,7,9,7283.86,4,4,4,444,Best Customers,Yes
17,215,3,8,3889.3900000000003,4,4,3,443,Best Customers,Yes
18,234,11,9,5763.129999999999,4,4,4,444,Best Customers,Yes
19,235,2,11,4685.820000000001,4,4,4,444,Best Customers,Yes
20,239,1,9,5928.23,4,4,4,444,Best Customers,Yes
21,260,8,9,3381.41,4,4,3,443,Best Customers,Yes
22,298,8,9,4382.48,4,4,4,444,Best Customers,Yes
23,307,15,8,3465.6099999999997,4,4,3,443,Best Customers,Yes
24,320,12,10,7204.66,4,4,4,444,Best Customers,Yes
25,322,1,11,10336.769999999997,4,4,4,444,Best Customers,Yes
26,346,12,9,6420.7,4,4,4,444,Best Customers,Yes
27,359,8,10,2921.76,4,4,3,443,Best Customers,Yes
28,368,13,9,3939.73,4,4,3,443,Best Customers,Yes
29,377,6,11,4124.420000000001,4,4,4,444,Best Customers,Yes
30,404,18,8,4874.549999999999,4,4,4,444,Best Customers,Yes
31,433,15,8,3244.1900000000005,4,4,3,443,Best Customers,Yes
32,515,14,8,5916.6900000000005,4,4,4,444,Best Customers,Yes
33,577,2,11,4242.34,4,4,4,444,Best Customers,Yes
34,605,2,8,5025.64,4,4,4,444,Best Customers,Yes
35,611,3,8,3500.44,4,4,3,443,Best Customers,Yes
36,614,18,9,6120.46,4,4,4,444,Best Customers,Yes
37,637,7,13,5402.469999999999,4,4,4,444,Best Customers,Yes
38,640,10,8,4278.599999999999,4,4,4,444,Best Customers,Yes
39,656,10,8,3749.5599999999995,4,4,3,443,Best Customers,Yes
40,695,16,8,4659.0,4,4,4,444,Best Customers,Yes
41,704,10,10,4034.46,4,4,3,443,Best Customers,Yes
42,723,15,8,3489.96,4,4,3,443,Best Customers,Yes
43,725,3,11,7321.499999999999,4,4,4,444,Best Customers,Yes
44,729,1,9,8953.17,4,4,4,444,Best Customers,Yes
45,739,1,10,4842.199999999999,4,4,4,444,Best Customers,Yes
46,768,5,9,5580.570000000001,4,4,4,444,Best Customers,Yes
47,789,4,8,2892.7599999999998,4,4,3,443,Best Customers,Yes
48,793,1,10,4778.329999999998,4,4,4,444,Best Customers,Yes
49,820,3,9,4381.48,4,4,4,444,Best Customers,Yes
50,832,17,11,8366.15,4,4,4,444,Best Customers,Yes
51,835,7,8,3225.92,4,4,3,443,Best Customers,Yes
52,877,17,9,4918.87,4,4,4,444,Best Customers,Yes
53,902,14,9,6003.05,4,4,4,444,Best Customers,Yes
54,903,16,9,3401.85,4,4,3,443,Best Customers,Yes
55,906,16,9,4473.870000000001,4,4,4,444,Best Customers,Yes
56,925,12,9,4371.16,4,4,4,444,Best Customers,Yes
57,946,2,8,6305.6,4,4,4,444,Best Customers,Yes
58,973,8,8,6639.849999999999,4,4,4,444,Best Customers,Yes
59,1000,0,9,5383.48,4,4,4,444,Best Customers,Yes
60,1054,5,8,3406.16,4,4,3,443,Best Customers,Yes
61,1068,4,14,4841.71,4,4,4,444,Best Customers,Yes
62,1076,9,12,8104.539999999999,4,4,4,444,Best Customers,Yes
63,1084,4,10,6522.830000000001,4,4,4,444,Best Customers,Yes
64,1086,13,9,4705.65,4,4,4,444,Best Customers,Yes
65,1091,4,10,4183.81,4,4,4,444,Best Customers,Yes
66,1098,8,8,3879.1399999999994,4,4,3,443,Best Customers,Yes
67,1165,10,9,3286.3500000000004,4,4,3,443,Best Customers,Yes
